,STOCK,CODE
0,20 Microns Ltd.,BOM533022
1,3i Infotech Ltd.,BOM532628
2,3m India Ltd.,BOM523395
3,7seas Technologies Ltd,BOM590116
4,8k Miles Software Services Ltd.,BOM512161
5,A.f. Enterprises Ltd,BOM538351
6,A.k. Spintex Ltd,BOM539300
7,A.k.capital Services Ltd.,BOM530499
8,A2z Infra Engineering Limited,BOM533292
9,Aadhaar Ventures India Ltd.,BOM531611
10,Aadi Industries Ltd.,BOM530027
11,Aagam Capital Ltd.,BOM531866
12,Aananda Lakshmi Spinning Mills Ltd,BOM539096
13,Aanchal Ispat Ltd,BOM538812
14,Aarey Drugs & Pharmaceuticals Ltd.,BOM524412
15,Aarti Drugs Ltd.,BOM524348
16,Aarti Industries Ltd.,BOM524208
17,Aarvee Denims & Exports Ltd.,BOM514274
18,Aarya Global Shares And Securities Ltd.,BOM531731
19,Aashee Infotech Ltd.,BOM519319
20,Aaswa Trading & Exports Ltd.,BOM512038
21,Aban Offshore Ltd.,BOM523204
22,Abans Enterprises Ltd,BOM512165
23,Abb India Limited,BOM500002
24,Abbott India Ltd.,BOM500488
25,Abc Bearings Ltd,BOM505665
26,Abc Gas (international) Ltd.,BOM513119
27,Abc India Ltd,BOM520123
28,Abg Shipyard Ltd.,BOM532682
29,Abhinav Capital Services Ltd.,BOM532057
30,Abhinav Leasing & Finance Ltd,BOM538952
31,Abhishek Corporation Ltd.,BOM532831
32,Abhishek Finlease Ltd,BOM538935
33,Abirami Financial Services (india) Ltd.,BOM511756
34,Abl Biotechnologies Ltd.,BOM526955
35,Abm Knowledgeware Ltd.,BOM531161
36,Acc Ltd.,BOM500410
37,Accel Frontline Ltd.,BOM532774
38,Accel Transmatic Ltd.,BOM517494
39,Accelya Kale Solutions Limitd,BOM532268
40,Accentia Technologies Ltd,BOM531897
41,Acclaim Industries Limited,BOM526347
42,Accurate Transformers Ltd.,BOM530513
43,Ace Edutrend Ltd,BOM530093
44,Ace Software Exports Ltd,BOM531525
45,Ace Tours Worldwide Ltd,BOM536492
46,Achal Investments Ltd,BOM538570
47,Aci Infocom Ltd.,BOM517356
48,Acil Cotton Industries Limited,BOM530901
49,Acknit Industries Ltd.,BOM530043
50,Acme Resources Ltd,BOM539391
51,Acropetal Technologies Ltd.,BOM533330
52,Acrow India Ltd.,BOM513149
53,Acrysil Ltd.,BOM524091
54,Action Construction Equipment Ltd.,BOM532762
55,Action Financial Services (india) Ltd.,BOM511706
56,Ad-manum Finance Ltd.,BOM511359
57,Adani Enterprises Ltd.,BOM512599
58,Adani Ports And Special Economic Zone Ltd.,BOM532921
59,Adani Power Ltd.,BOM533096
60,Adani Transmission Ltd,BOM539254
61,Adarsh Mercantile Ltd,BOM538563
62,Adarsh Plant Protect Ltd.,BOM526711
63,Adc India Communications Limited,BOM523411
64,Adcc Infocad Ltd,BOM538734
65,Addi Industries Ltd,BOM507852
66,Adf Foods Ltd,BOM519183
67,Adhbhut Infrastructure Ltd,BOM539189
68,Adhunik Industries Ltd,BOM538365
69,Adhunik Metaliks Ltd.,BOM532727
70,Adi Finechem Ltd.,BOM530117
71,Adi Rasayan Ltd.,BOM531592
72,Adinath Bio-labs Ltd.,BOM590088
73,Adinath Exim Resources Ltd.,BOM532056
74,Adinath Textiles Ltd.,BOM514113
75,Aditya Birla Chemicals (india) Ltd.,BOM500057
76,Aditya Birla Fashion And Retail Ltd,BOM535755
77,Aditya Birla Money Ltd,BOM532974
78,Aditya Birla Nuvo Ltd.,BOM500303
79,Aditya Forge Ltd.,BOM522150
80,Aditya Ispat Ltd.,BOM513513
81,Aditya Spinners Ltd.,BOM521141
82,Adlabs Entertainment Ltd,BOM539056
83,Ador Fontech Ltd,BOM530431
84,Ador Multiproducts Ltd.,BOM523120
85,Ador Welding Ltd.,BOM517041
86,Ads Diagnostic Ltd.,BOM523031
87,Advance Lifestyles Ltd.,BOM521048
88,Advance Metering Technology Ltd.,BOM534612
89,Advance Petrochemicals Ltd.,BOM506947
90,Advance Powerinfra Tech Limited,BOM531047
91,Advanced Micronic Devices Ltd,BOM517552
92,Advani Hotels & Resorts (india) Ltd.,BOM523269
93,Advanta Limited,BOM532840
94,Advent Computer Services Ltd.,BOM531429
95,Advik Laboratories Ltd.,BOM531686
96,Aegis Logistics Ltd.,BOM500003
97,Aftek Ltd.,BOM530707
98,Agarwal Industrial Corporation Ltd.,BOM531921
99,Agc Networks Limited,BOM500463
100,Agi Infra Ltd,BOM539042
101,Agio Paper & Industries Ltd,BOM516020
102,Agri- Tech (india) Ltd,BOM537292
103,Agrimony Commodities Ltd,BOM537492
104,Agro Dutch Industries Ltd.,BOM519281
105,Agro Tech Foods Ltd.,BOM500215
106,Ahlcon Parenterals (india) Ltd.,BOM524448
107,Ahluwalia Contracts (india) Ltd.,BOM532811
108,Ahmedabad Steelcraft Ltd.,BOM522273
109,Ai Champdany Industries Ltd.,BOM532806
110,Aia Engineering Ltd.,BOM532683
111,Aikyam Intellectual Property Consultancy Limited,BOM506822
112,Aimco Pesticides Ltd.,BOM524288
113,Aishwarya Telecom Ltd.,BOM532975
114,Ajanta Pharma Ltd.,BOM532331
115,Ajanta Soya Ltd.,BOM519216
116,Ajcon Global Services Ltd.,BOM511692
117,Ajel Ltd.,BOM530713
118,Ajmera Realty & Infra India Ltd.,BOM513349
119,Ajwa Fun World & Resort Ltd.,BOM526628
120,Akar Tools Ltd.,BOM530621
121,Akashdeep Metal Industries Ltd,BOM538778
122,Akme Star Housing Finance Ltd,BOM539017
